Topic,Topic Labels,prob,frex
1,Journalism,"public, newspap, press, journal, report, privat, publish, paper, articl, opinion, inform, magazin, period, journalist, media, propaganda, debat, popular, editor, correspond","journal, cyril, journalist, press, newspap, articl, public, news, editor, editori, magazin, coverag, report, propaganda, opinion, censorship, hook, privat, week, paper"
2,US Oil  / Regional (Oklahoma),"oil, 1898, 1915, oklahoma, 1902, 1908, insurg, 1904, fuel, stone, 1899, lesson, opera, wood, 1889, 1903, petroleum, knight, energi, counterinsurg","petroleum, oil, 1898, 1902, 1904, counterinsurg, bird, oklahoma, stone, arctic, 1899, tulsa, 1915, insurg, 1908, consortium, fox, macdonald, afghanistan, 1889"
3,Criminal Justice System,"polic, crime, prison, crimin, trial, punish, prosecut, justic, convict, case, system, accus, use, investig, juvenil, order, penal, arrest, drug, offici","crime, prison, penitentiari, polic, punish, criminal_justic, homicid, crimin, trial, penal, prosecut, inmat, treason, juvenil, incarcer, witchcraft, offend, imprison, criminal_justice_system, delinqu"
4,Labor,"associ, mill, child, voluntari, owner, brown, patern, entrepreneur, mountain, quarter, one, 1882, cotton, nebraska, sever, busi, van, textil, famili, founder","mill, associ, voluntari, van, lagrang, venn, nebraska, patern, cannon, 1882, alpin, ozark, child, voluntar, thrift, telugu, entrepreneurship, native_plac, voluntary_associ, slatteri"
5,Eastern Europe,"nation, nationalist, republ, independ, state, patriot, park, intern, countri, vision, promot, czech, movement, among, nation-st, uniti, national_ident, 1930s, loyalti, peopl","czech, slovak, nation, national_ident, czechoslovak, kazak, patriot, nationalist, nation-build, romanian, hungarian, slovakia, nationhood, rockefel, nation-st, park, czechoslovakia, hungari, self-determin, varga"
6,US Political History; US Presidents,"presid, administr, roosevelt, senat, cold, eisenhow, vietnam, congress, johnson, kennedi, committe, cold_war, nuclear, communist, truman, presidenti, congression, franklin, polici, 1950","eisenhow, kennedi, nixon, lyndon, roosevelt, anti-commun, truman, anti-communist, johnson, reelect, senat, nuclear, mccarthi, dull, missil, presidenti, clinton, anticommun, franklin, presid"
7,Panama Canal,"hous, jame, wilson, canal, william, build, madison, wisconsin, architectur, construct, use, roger, panama, home, plan, resid, develop, monro, harvard, project","woodrow, wilson, hous, jame, canal, walsh, madison, panamanian, panama, booth, monro, hessian, curti, roger, drayton, vvaw, webb, wisconsin, dwell, public_h"
8,Rural,"communiti, local, town, counti, rural, famili, live, life, resid, villag, popul, small, surviv, individu, record, peopl, outsid, area, one, provid","town, communiti, counti, rural, villag, iota, local, epsilon, alpha, dalla, census, sigma, resid, acut, township, albani, iowa, parish, quilt, eta"
9,Latin America,"spanish, spain, coloni, cuba, brazil, cuban, mexico, new, peru, indigen, aacut, centuri, brazilian, spaniard, empir, mission, portugues, world, independ, rio","spanish, spain, peru, madrid, andean, janeiro, afro-cuban, cabildo, morisco, viceroyalti, uacut, yaqui, guadalup, quito, encomendero, encomienda, consulado, vicereg, audiencia, presidio"
10,Civil rights,"right, civil, constitut, citizen, equal, citizenship, freedom, debat, state, protect, liberti, amend, advoc, claim, struggl, argument, argu, individu, defend, use","right, amend, citizenship, citizen, liberti, constitut, civil, freedom, equal, ratif, mead, debat, jehovah, sovereignti, guarante, injustic, protect, advoc, neff, entitl"
11,Medieval,"king, royal, mediev, england, centuri, reign, bishop, crown, kingdom, monasteri, monast, english, queen, church, religi, court, nun, duke, henri, ecclesiast","anglo-norman, charlemagn, angevin, abbess, tudor, abbey, nunneri, royal, fontevraud, monasteri, capetian, carolingian, king, xiv, kingship, lordship, aragon, norman, nun, queen"
12,Ottoman empire,"ottoman, egypt, arab, empir, iran, egyptian, muslim, polit, centuri, islam, mediterranean, east, period, syria, state, turkish, western, sudan, christian, iranian","syria, sudan, syrian, iraq, armenian, lebanes, sudanes, iraqi, safavid, hyderabad, khanat, ottoman, albanian, anglo-egyptian, mosul, hajj, lebanon, ite, iran, turkish"
13,US Progressive Era ,"new, reform, progress, york, era, effort, movement, old, idea, creat, modern, improv, vision, becam, sought, ideal, turn, civic, mani, age","progress, york, progressiv, reform, new, york_citi, jersey, hampshir, yorker, social_reform, philanthropi, haven, orlean, philanthrop, benevol, buffalo, progressive_era, manhattan, old, reform_effort"
14,Hispanic ,"mexico, mexican, poor, angel, poverti, los, argentina, puerto, los_angel, california, argentin, rico, guatemala, anglo, chariti, hispan, polit, rican, san, elit","puerto, argentin, rico, rican, latino, chicana, chicano, puerto_rico, bueno, costa, guatemalan, tejano, peron, rica, peronist, mexican_american, buenos_air, costa_rica, mexican, los_angel"
15,Art/ African American Art/Dance,"art, cultur, perform, artist, museum, music, jazz, exhibit, danc, theater, musician, aesthet, african-american, theatr, fair, entertain, paint, visual, theatric, band","dancer, danc, jazz, museum, art, theatr, artist, louisvill, theatric, blue, zoo, exposit, paint, choreograph, circus, theater, choreographi, musician, painter, vaudevill"
16,Islamic ,"islam, muslim, dotbelow, centuri, religi, tradit, ibn, scholar, morocco, arab, india, qur'an, moroccan, work, prophet, one, use, among, sultan, mamluk","dotbelow, morocco, qur'an, sufi, hindu, sufism, waqf, al-azhar, islamic_law, muh, adith, maliki, moroccan, fatima, pandit, ibn, tafsir, beguin, al-ghazali, naqshbandi"
17,Quantitative Methods,"use, analysi, studi, model, system, develop, research, process, data, result, differ, structur, effect, can, determin, factor, behavior, find, manag, method","data, evalu, model, analysi, assess, applic, qualit, methodolog, framework, structur, quantit, research, decision-mak, type, find, behavior, factor, outcom, organiz, can"
18,Native american,"indian, nativ, reserv, cultur, white, land, peopl, tribe, tribal, assimil, creek, polici, govern, cheroke, remov, indigen, missionari, feder, navajo, treati","navajo, choctaw, american_indian, apach, shawne, sioux, ojibw, indian, lakota, hopi, indian_polici, cheroke, nativ, creek, native_american, oneida, shoshon, bia, indian_trib, alaska"
19,Literary,"write, book, letter, literatur, rhetor, read, text, writer, literari, author, use, print, languag, publish, speech, reader, narrat, sermon, novel, audienc","letter, writer, book, read, rhetor, write, literari, print, sermon, reader, speech, literatur, autobiographi, novel, fiction, swedish, diari, literaci, preach, oratori"
20,Violence,"violenc, resist, victim, violent, conflict, riot, repress, lynch, terror, revolt, use, form, action, kill, klan, protest, state, act, murder, attack","violenc, klan, mob, riot, lynch, terror, violent, victim, kill, genocid, massacr, terrorist, vigilant, atroc, assassin, repris, murder, bloodi, brutal, repress"
21,Roman empire,"roman, rebellion, crusad, prohibit, emperor, rome, alcohol, empir, alexand, temper, drink, centuri, augustus, imperi, wine, parker, rebel, hill, legion, constantin","hostag, sulla, prohibitionist, alcohol, augustus, parker, etruscan, tiberius, crusad, drink, scipio, wine, caesar, roman, sallust, liquor, rebellion, constantin, gaius, pelley"
