,name,,Gen Appr,General Approach Standardized,Spec Appr,Specialized Approach Standardized,Gen Geogr,Spec Geogr,Comments Stephan,prob,frex
1,1,,?? Noise or History of the Book,Noise,Publication,Publication,Noise,publication,slightly disagree. There are certainly history of the book aspects (as well as historiography) to this topic but I think it’s mostly a noise topic related to books. I don’t see a reason why History of the Book would have peaked in 1950 and declined since then as Topic 1 has.,"histori, book, work, studi, publish, historian, first, histor, year, volum, one, write, period, articl, edit, scholar, author, use, interest, sourc","volum, book, publish, biographi, edit, chapter, page, biograph, monograph, reader, topic, manuscript, written, scholar, historian, articl, titl, prefac, translat, literari"
2,2,the other urban topic is under social history and I think this one fits there as well.,?,Social History,Urban,Urban,European History,Dutch/Flemish,agree,"van, dutch, centuri, amsterdam, netherland, social, citi, der, het, also, town, earli, brussel, ghent, see, europ, holland, bruge, den, flander","bladelin, dumolyn, alkmaar, rgerschaft, haemer, ghent, inv.nr, schepenen, hugonet, kuyper, orangist, patrimonium, veenhuizen, ibidem, bruge, kerk, vlaanderen, neo-calvinist, overijssel, eeuw"
3,3,,Noise (publication),Noise,Publication,Publication,Noise,publication,agree,"press, new, london, york, vol, 1955, univers, 1957, 1958, pari, 1954, 1956, 1953, 1959, histori, der, 1952, edit, amp, des","21s, 35s, 18s, 42s, 45s, 25s, musterschmidt, otava, 15s, kolehmainen, amiot-dumont, 2is, lit-ri, i95i, 12s, 63s, 30s, 32s, 16s, i950"
4,4,,Transnational,Transnational History,Migration,Migration,US,European Immigrants,agree,"immigr, irish, migrat, emigr, ethnic, ireland, american, new, america, migrant, york, unit, communiti, state, german, histori, cathol, see, group, polish","johnstown, tipperari, norwegian-american, puck, slovak, irish, irishmen, anti-irish, norse-american, post-famin, immigr, fenian, goldman, emigr, sowel, ireland, cork, doneg, galway, immi"
5,5,historiography is not a hire-able field,Historiography,Transnational History,World History,World History,World History,Modern,agree,"world, histori, modern, europ, european, global, western, univers, centuri, new, civil, west, press, develop, cultur, journal, human, intern, china, time","unesco, eurocentr, global, wallerstein, mcneill, needham, toynbe, huxley, blaut, world-system, bentley, world-economi, pomeranz, non-western, hodgson, dirlik, schm, immanuel, tay, civiliz"
6,6,,Economic History,Economic History,Political Economy,Political Economy,Economic History,Political Economy,"this is a hard one… it’s really right at the edge of economic and political history, hence my suggestion","state, govern, polici, nation, public, program, servic, committe, administr, offici, report, plan, social, work, welfar, organ, offic, reform, problem, control","pension, welfar, fund, program, insur, retir, rfaa, committe, unemploy, implement, budget, plan, polici, administr, expenditur, feder, benefit, personnel, commiss, employe"
7,7,,Noise,Noise,Letters to the Editor,Letters to the Editor,Noise,Letters to the Editor,disagree. I think this is a noise topic related to letters sent to the editor (see the top 10 titles for this topic).,"letter, public, one, report, inform, paper, press, use, read, time, newspap, also, author, speech, word, person, write, wrote, opinion, may","letter, speech, newspap, news, journalist, denunci, opinion, censorship, copi, inform, read, circul, secret, editor, correspond, print, speaker, scandal, rumor, written"
8,8,,Colonial History,Colonial History,Early Settlement of America,Early Settlement of Northern America,U.S. History,Southern,"mostly southern, e.g. virginia","coloni, virginia, english, new, see, color, histori, earli, carolina, jefferson, america, time, john, colonist, charleston, men, american, england, smith, london","heme, rumley, chichera, cooleeme, acw, hef, jujuy, cugoano, bermuda, lefroy, clavigero, wingfield, chicheria, trefor, jamestown, clarkson, dulani, bcd, powhatan, sutro"
9,9,,Historiography,Historiography,Historiography,,Historiography,,agree. Any idea why this topic increased from 0 in 1960 to very prominent today? It doesn’t feel like historiography has overall become more important.  LS no idea!,"histori, histor, historian, social, cultur, new, studi, see, american, work, polit, review, modern, scholar, past, narrat, research, way, also, turn","scholarship, historian, historiographi, historiograph, 2006, paradigm, ahr, methodolog, 2007, sewel, topic, 2008, 2009, subfield, revisionist, eley, 2011, rethink, 2003, 2005"
10,10,,Anthropology,Anthropology,Social Structure,Social Structure,Polynesia,,"disagree. I think this is a broader and global anthropology topic, e.g. Poor Man, Rich Man, Big-Man, Chief: Political Types in Melanesia and Polynesia. Authors: Marshall D. Sahlins. I think that also aligns with the peak in the 1960s for this topic (structuralism).  LS: I did nor see any of these words.  I agree with you. But how was I supposed to see that?","group, peopl, chief, societi, one, villag, communiti, polit, among, tribe, also, relat, may, govern, tradit, local, area, cit, time, associ","penan, kwilu, buganda, kabaka, ilparakuyo, maasai, baganda, dozoku, efik, mulel, kitara, anti-witchcraft, jisa, basantpur, nuosu, bosavi, basseri, lunda, age-set, bunyoro"
