ID,Name (descriptive),Name as Field (subfield),General Approach,Specific Approach,General Area,Specific Area,,Terms Prob,Terms Frex
1,Northern Frontiers,Indigenous History (Northern Frontiers),Indigenous History,Native Americans,North America,Canada,,"lake, canada, trade, hunt, canadian, river, fur, ojibwa, amp, trader, michigan, band, cree, toronto, indian, skin, winter, post, chippewa, hunter","ojibwa, cree, chippewa, chaboillez, assiniboin, mang'osid, malhiot, pembina, lac, pint, saskatchewan, winnebago, beaver, winnipeg, hidatsa, mixd, manitoba, reindeer, canadian, dram"
2,Slavery in the Americas,U.S. History (Slavery),History of Race and Racism,Slavery,Northern America,United States; Caribbean,,"slave, slaveri, free, african, trade, plantat, labor, master, new, coloni, british, west, sugar, planter, freedom, america, emancip, see, atlant, enslav","cugoano, barbado, slave, elti, slaveown, jamaica, enslav, ex-slav, domingu, equiano, manumiss, slaveri, chattel, bondag, engerman, servitud, drescher, slavehold, bight, indentur"
3,Social Classes and Mobility,Social History (Class),Social History,Class & Social Mobility,Europe,,,"class, social, mobil, occup, middl, elit, group, wealth, status, centuri, societi, famili, men, econom, one, lower, profession, among, rank, upper","white-collar, mobil, stratif, upward, class, occup, collar, stratum, wealth, bourgeoisi, strata, inequ, artisan, elit, aristocraci, upper-class, wealthi, clerk, pessen, lower-class"
4,U.S. Political History,Historiography (United States),Historiography; Political History,United States,Northern America,United States,,"american, state, unit, america, war, world, foreign, nation, intern, polici, countri, new, histori, york, relat, latin, washington, power, journal, cold","mahan, anti-american, americanist, filibust, unit, vietnam, usa, amer, internation, ican, exceptionalist, lafeb, ameri, american, amerika, cold, luce, diplomat, iriy, latin"
5,India,Asian History (India),,,Asia,India,,"india, indian, british, cast, hindu, coloni, muslim, delhi, south, also, bengal, gandhi, calcutta, tradit, madra, govern, tamil, bombay, press, asia","brahmo, vanniyar, rampur, rajasthan, all-india, rukhmabai, ramanand, gounder, mleccha, basantpur, jaipur, ramanandi, karanam, alwar, marwari, samaj, brahman, telengana, hinduism, panchayat"
6,World History,Historiorgraphy (World History),Historiography; Transnational History,World History,,,,"world, human, histori, cultur, new, civil, natur, european, europ, global, western, univers, modern, anim, technolog, scienc, evolut, time, centuri, west","unesco, evolutionari, toynbe, huxley, needham, mcneill, planet, genet, eurocentr, sociobiolog, buffon, humankind, darwinian, humboldt, darwin, sapien, piozzi, biolog, biologist, linnaeus"
7,Russia before WWI,European History (Russia),,,Europe; Asia,Russia,,"russian, russia, moscow, peasant, see, petersburg, also, even, tsar, state, centuri, 1917, serf, alexand, one, soviet, bolshevik, offici, peter, western","solov'ev, soslovi, tsgia, russkaia, kliuchevskii, russkoi, vedomosti, zhurnal, psz, reutern, riazan, gubernii, krest'ian, aksakov, korkunov, russko, voronin, serfown, chaadaev, obrok"
8,Voyages,Transnational History (Voyages),Transnational History,Voyages,,,,"ship, travel, island, river, sea, voyag, one, port, made, land, two, place, men, vessel, mile, sail, west, countri, water","sail, vessel, voyag, ship, boat, seamen, sailor, aboard, crew, deck, navig, cargo, journey, travel, captain, passeng, sea, mile, marin, fleet"
9,Natural Resources and the Environment,U.S. History (Natural Resources),Economic History; Environmental History,Natural Resources and the Environment,Northern America,United States,,"oil, hoover, conserv, name, water, forest, state, environment, feder, new, public, compani, petroleum, govern, use, depart, nation, davi, see, senat","petroleum, pinchot, oil, hoover, trice, goldwat, slatteri, gasolin, forestri, coolidg, hirth, conservationist, refineri, oilmen, gas, antitrust, pipelin, fbi, dam, icc"
10,Nutrition and Climate,Social History (Nutrition and Climate),Environmental History; Social History,Nutrition and Climate,,,,"food, climat, year, grain, centuri, price, chang, famin, agricultur, crop, plant, harvest, popul, period, season, time, region, histori, earli, rice","rainfal, temperatur, maiz, nitrogen, meteorolog, cereal, drought, tree-r, climat, volcan, grain, wheat, guano, famin, sunspot, manur, isotop, climatolog, fallow, barley"
